"Country","BiomeName","Period2","NoSamples","MW_pvalue","TT_pvalue","pvalueGT"
"Australia","Temperate Broadleaf and Mixed Forests",1,844,0.0679353272427725,0.0244564617939387,FALSE
"Australia","Temperate Broadleaf and Mixed Forests",2,469,3.30015461031803e-19,9.79270963753936e-18,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",3,639,4.64665187415543e-06,2.4554438343179e-05,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",4,238,2.23005656311971e-15,8.165991689749e-19,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",5,511,0.00426672913232214,0.00405540658985016,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",6,492,0.000970825530618468,0.000307973512926858,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",1,497,5.87605628648132e-11,4.20678084080085e-13,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",2,398,0.787559575558096,0.450007588641517,FALSE
"Australia","Temperate Grasslands, Savannas, and Shrublands",3,571,1.42274775230565e-07,1.36751653442386e-05,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",4,207,7.28851995871171e-11,3.84514478609975e-14,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",5,582,0.00702019007324914,0.00967870401583127,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",6,405,0.0167193520579724,0.0176761259857175,TRUE
"Australia","Montane Grasslands and Shrublands",1,340,0.0929840589058386,0.0437274663853863,FALSE
"Australia","Montane Grasslands and Shrublands",2,199,0.00986661408189404,0.0201260072674147,TRUE
"Australia","Montane Grasslands and Shrublands",3,453,0.142741321583468,0.108580182938526,FALSE
"Australia","Montane Grasslands and Shrublands",4,1,0,0,TRUE
"Australia","Montane Grasslands and Shrublands",5,172,9.99254761933911e-15,3.10146196917253e-16,TRUE
"Australia","Montane Grasslands and Shrublands",6,1,0,0,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",1,621,6.45597413408241e-05,0.00512086315012584,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",2,699,0.00662241658233955,3.72583338706285e-05,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",3,842,0.441704302348167,0.048828652721212,FALSE
"Australia","Mediterranean Forests, Woodlands, and Scrub",4,706,0.0558167571665715,0.068516339740368,FALSE
"Australia","Mediterranean Forests, Woodlands, and Scrub",5,832,0.483502046146702,0.186889772907609,FALSE
"Australia","Mediterranean Forests, Woodlands, and Scrub",6,730,8.04500938510823e-06,7.948712150844e-07,TRUE
"Europe","Temperate Broadleaf and Mixed Forests",1,199,0.00289352081591696,0.00435042785493562,TRUE
"Europe","Temperate Broadleaf and Mixed Forests",2,332,4.99485107172802e-06,4.38704082879403e-06,TRUE
"Europe","Temperate Broadleaf and Mixed Forests",3,128,3.73161212104277e-08,1.59010959264048e-07,TRUE
"Europe","Temperate Broadleaf and Mixed Forests",4,122,0.600529215704226,0.483299741274567,FALSE
"Europe","Temperate Broadleaf and Mixed Forests",5,152,0.0642244669324817,0.094444748135403,FALSE
"Europe","Temperate Broadleaf and Mixed Forests",6,187,0.913750007022959,0.603636561535986,FALSE
"Europe","Mediterranean Forests, Woodlands, and Scrub",1,281,0.866631155664494,0.899835936960837,FALSE
"Europe","Mediterranean Forests, Woodlands, and Scrub",2,418,0.191818924132987,0.119132651168353,FALSE
"Europe","Mediterranean Forests, Woodlands, and Scrub",3,355,0.882255451252227,0.641915998959642,FALSE
"Europe","Mediterranean Forests, Woodlands, and Scrub",4,271,0.017297112373556,0.010614282759014,TRUE
"Europe","Mediterranean Forests, Woodlands, and Scrub",5,337,0.972130743428825,0.966353999961344,FALSE
"Europe","Mediterranean Forests, Woodlands, and Scrub",6,425,0.397739446996243,0.303705155988262,FALSE
"Canada","Temperate Broadleaf and Mixed Forests",1,176,5.36176272320328e-11,2.00072924122034e-09,TRUE
"Canada","Temperate Broadleaf and Mixed Forests",2,418,0.164089625993877,0.171274408936999,FALSE
"Canada","Temperate Broadleaf and Mixed Forests",3,526,0.000526230132443104,0.000313021101283052,TRUE
"Canada","Temperate Broadleaf and Mixed Forests",4,721,2.72450300278165e-21,7.10170454203427e-23,TRUE
"Canada","Temperate Broadleaf and Mixed Forests",5,35,2.44520955313536e-06,6.61567681555529e-09,TRUE
"Canada","Temperate Broadleaf and Mixed Forests",6,402,0.0126246977816947,0.0110711580610022,TRUE
"Canada","Temperate Coniferous Forests",1,279,6.87826729699977e-05,0.000138903677977191,TRUE
"Canada","Temperate Coniferous Forests",2,585,2.80382475953435e-07,5.09413963034205e-07,TRUE
"Canada","Temperate Coniferous Forests",3,208,2.75695849264209e-17,6.52830850411381e-17,TRUE
"Canada","Temperate Coniferous Forests",4,307,1.26979474873269e-08,5.06949272434037e-08,TRUE
"Canada","Temperate Coniferous Forests",5,509,2.23267768942476e-07,6.62620265474792e-09,TRUE
"Canada","Temperate Coniferous Forests",6,439,4.34558401551279e-06,9.78789126932015e-07,TRUE
"Canada","Boreal Forests/Taiga",1,703,0.0129285513983842,0.0368148753040611,TRUE
"Canada","Boreal Forests/Taiga",2,722,0.648333784736811,0.716518332647685,FALSE
"Canada","Boreal Forests/Taiga",3,715,0.353076330325647,0.217594656842566,FALSE
"Canada","Boreal Forests/Taiga",4,867,0.0679227400023198,0.0859839247300366,FALSE
"Canada","Boreal Forests/Taiga",5,805,0.436761622351073,0.400347328217638,FALSE
"Canada","Boreal Forests/Taiga",6,609,0.284722442885367,0.353945617527651,FALSE
"Canada","Temperate Grasslands, Savannas, and Shrublands",1,521,8.84454671957351e-07,7.05580602298306e-07,TRUE
"Canada","Temperate Grasslands, Savannas, and Shrublands",2,112,9.55022870359737e-11,3.27841738941601e-14,TRUE
"Canada","Temperate Grasslands, Savannas, and Shrublands",3,54,2.10997775358007e-06,4.03857890286332e-07,TRUE
"Canada","Temperate Grasslands, Savannas, and Shrublands",4,133,0.00168746294525979,0.0035716426194236,TRUE
"Canada","Temperate Grasslands, Savannas, and Shrublands",5,298,0.00655754726302519,0.0776248903304127,TRUE
"Canada","Temperate Grasslands, Savannas, and Shrublands",6,102,9.52892391144375e-05,5.23075865195177e-05,TRUE
"Chile","Temperate Broadleaf and Mixed Forests",1,171,5.85843456560356e-06,6.83869852160539e-05,TRUE
"Chile","Temperate Broadleaf and Mixed Forests",2,270,0.201685109706088,0.220285841375037,FALSE
"Chile","Temperate Broadleaf and Mixed Forests",3,391,0.223983360393912,0.241988255611216,FALSE
"Chile","Temperate Broadleaf and Mixed Forests",4,407,0.0805068919990625,0.070368473948536,FALSE
"Chile","Temperate Broadleaf and Mixed Forests",5,238,0.129526436077465,0.121090392870668,FALSE
"Chile","Temperate Broadleaf and Mixed Forests",6,287,0.0051749616014959,0.00113934630429361,TRUE
"Chile","Mediterranean Forests, Woodlands, and Scrub",1,126,0.0224215629846284,0.0309270290504977,TRUE
"Chile","Mediterranean Forests, Woodlands, and Scrub",2,242,0.538699624038807,0.624541059433075,FALSE
"Chile","Mediterranean Forests, Woodlands, and Scrub",3,237,0.302940216104703,0.420076331376972,FALSE
"Chile","Mediterranean Forests, Woodlands, and Scrub",4,336,0.608681208158619,0.630711110767467,FALSE
"Chile","Mediterranean Forests, Woodlands, and Scrub",5,248,0.0835828330346017,0.0848882753639107,FALSE
"Chile","Mediterranean Forests, Woodlands, and Scrub",6,307,0.305107412040414,0.370616308434071,FALSE
"USA","Temperate Broadleaf and Mixed Forests",1,139,0.403880727052591,0.0836696377986468,FALSE
"USA","Temperate Broadleaf and Mixed Forests",2,154,0.000469082932967488,0.00025208790343993,TRUE
"USA","Temperate Broadleaf and Mixed Forests",3,145,0.405167335449692,0.176188063257606,FALSE
"USA","Temperate Broadleaf and Mixed Forests",4,180,0.767807412644539,0.653011889704991,FALSE
"USA","Temperate Broadleaf and Mixed Forests",5,64,0.451170333539846,0.0264877616639557,FALSE
"USA","Temperate Broadleaf and Mixed Forests",6,58,0.0528521710450432,0.0568681907515501,FALSE
"USA","Temperate Coniferous Forests",1,401,0.00197790569946045,0.00182269195982868,TRUE
"USA","Temperate Coniferous Forests",2,227,0.00712796279836131,0.0218107943248145,TRUE
"USA","Temperate Coniferous Forests",3,340,2.90763476075387e-05,5.60433232377479e-05,TRUE
"USA","Temperate Coniferous Forests",4,404,0.800284939898452,0.924618318136806,FALSE
"USA","Temperate Coniferous Forests",5,256,0.137437741653313,0.202230819556228,FALSE
"USA","Temperate Coniferous Forests",6,225,0.0831623762450975,0.116719395565343,FALSE
"USA","Boreal Forests/Taiga",1,574,5.43409804614122e-13,6.00930074234594e-11,TRUE
"USA","Boreal Forests/Taiga",2,586,1.73879764467198e-10,1.48891594375901e-10,TRUE
"USA","Boreal Forests/Taiga",3,618,0.676599917796265,0.565872200876263,FALSE
"USA","Boreal Forests/Taiga",4,721,0.0989197596150582,0.0803929013456451,FALSE
